2022/07/13 11:08:47 [error] 7788#7288: *3280 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?wp_scrape_key=6de6532446255bd3aec7bb7f79e989cf&wp_scrape_nonce=1086450825 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "holamundo.local", referrer: "http://holamundo.local/?wp_scrape_key=6de6532446255bd3aec7bb7f79e989cf&wp_scrape_nonce=1086450825"
2022/07/14 11:42:39 [error] 1624#8136: *10284 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10290 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/128?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10290 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/128?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10292 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:43 [error] 1624#8136: *10293 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:43 [error] 1624#8136: *10294 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:45 [error] 1624#8136: *10295 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=128&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:45 [error] 1624#8136: *10296 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:46 [error] 1624#8136: *10297 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/edit.php?post_type=page"
2022/07/14 11:42:46 [error] 1624#8136: *10298 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:47 [error] 1624#8136: *10299 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=128&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=elementor"
2022/07/14 11:42:47 [error] 1624#8136: *10300 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
